IRIG Time	ARC_DECOM_STREAM_1: FGM_HK1	ARC_DECOM_STREAM_1: FGM_HK2	ARC_DECOM_STREAM_1: FGM_HK3	ARC_DECOM_STREAM_1: FGM_HK4	ARC_DECOM_STREAM_1: FGM_HK5	ARC_DECOM_STREAM_1: FGM_HK6	ARC_DECOM_STREAM_1: FGM_HK7	ARC_DECOM_STREAM_1: FGM_HK8	ARC_DECOM_STREAM_1: FGM_HK9	ARC_DECOM_STREAM_1: FGM_HK10	
22:03:46.982495	2450	2406	1551	2898	2741	2675	1510	840	0	8172	
22:03:47.004614	2454	2409	1555	2916	2715	2690	1517	819	0	8173	
22:03:47.026732	2465	2394	1572	2891	2738	2697	1499	822	0	8174	
22:03:47.048851	2443	2406	1577	2898	2735	2671	1510	841	0	8175	
22:03:47.070969	2450	2405	1562	2902	2733	2690	1517	819	0	8176	
22:03:47.093087	2469	2394	1572	2893	2719	2697	1499	822	0	8177	
22:03:47.115206	2443	2406	1565	2898	2741	2680	1510	841	0	8178	
22:03:47.137324	2454	2409	1555	2916	2715	2692	1517	819	0	8179	
22:03:47.159443	2465	2395	1572	2891	2736	2697	1499	823	0	8180	
22:03:47.181561	2443	2404	1577	2898	2740	2671	1510	841	0	8181	
22:03:47.203679	2454	2413	1555	2916	2729	2690	1517	819	0	8182	
22:03:47.225798	2468	2395	1558	2913	2715	2692	1513	822	0	8183	
22:03:47.247916	2465	2395	1572	2893	2738	2697	1499	822	0	8184	
22:03:47.270035	2443	2398	1577	2898	2740	2671	1510	841	0	8185	
22:03:47.292153	2450	2413	1562	2916	2729	2688	1517	819	0	8186	
22:03:47.314271	2468	2395	1572	2893	2719	2693	1499	822	0	8187	
22:03:47.336389	2443	2406	1577	2898	2740	2671	1510	841	0	8188	
22:03:47.358508	2454	2413	1555	2916	2729	2690	1517	819	0	8189	
22:03:47.380626	2468	2394	1572	2893	2719	2697	1499	823	0	8190	
22:03:47.402744	2443	2404	1551	2898	2741	2675	1510	833	0	8191	
22:03:47.424863	2468	2395	1558	2913	2715	2692	1513	819	0	8192	
22:03:47.446981	2465	2395	1572	2891	2719	2697	1499	822	0	8193	
22:03:47.469100	2443	2398	1577	2898	2740	2671	1502	831	0	8194	
22:03:47.491218	2450	2406	1551	2898	2735	2680	1510	841	0	8195	
22:03:47.513336	2450	2413	1562	2902	2752	2675	1510	832	0	8196	
22:03:47.535454	2454	2409	1555	2916	2715	2692	1513	819	0	8197	
22:03:47.557573	2465	2395	1581	2891	2740	2681	1499	831	0	8198	
22:03:47.579691	2450	2406	1551	2898	2741	2675	1510	841	0	8199	
22:03:47.601809	2454	2413	1555	2916	2733	2688	1517	826	0	8200	
22:03:47.623928	2468	2395	1558	2913	2715	2692	1513	819	0	8201	
22:03:47.646046	2465	2395	1572	2893	2719	2693	1499	822	0	8202	
22:03:47.668165	2447	2398	1581	2891	2740	2671	1502	831	0	8203	
22:03:47.690283	2450	2406	1551	2898	2741	2681	1510	841	0	8204	
22:03:47.712401	2450	2405	1551	2902	2733	2675	1510	832	0	8205	
22:03:47.734519	2454	2409	1555	2916	2715	2688	1517	819	0	8206	
22:03:47.756638	2468	2395	1572	2913	2715	2692	1513	822	0	8207	
22:03:47.778756	2457	2395	1581	2891	2738	2697	1499	822	0	8208	
22:03:47.800875	2445	2398	1581	2891	2740	2671	1499	831	0	8209	
22:03:47.822993	2450	2406	1577	2898	2740	2671	1510	841	0	8210	
22:03:47.845111	2450	2405	1562	2902	2733	2690	1517	824	0	8211	
22:03:47.867229	2464	2395	1558	2916	2715	2692	1517	819	0	8212	
22:03:47.889349	2469	2395	1572	2893	2719	2692	1499	822	0	8213	
22:03:47.911466	2445	2395	1581	2891	2736	2685	1499	822	0	8214	
22:03:47.933585	2443	2398	1581	2898	2740	2671	1502	841	0	8215	
22:03:47.955703	2450	2405	1563	2902	2753	2675	1510	832	0	8216	
22:03:47.977821	2464	2409	1555	2916	2715	2692	1517	819	0	8217	
22:03:47.999940	2469	2395	1572	2893	2719	2697	1499	822	0	8218	
22:03:48.022058	2443	2398	1581	2891	2740	2681	1499	831	0	8219	
22:03:48.044176	2450	2406	1551	2898	2741	2671	1510	841	0	8220	
22:03:48.066294	2450	2413	1562	2902	2729	2690	1517	819	0	8221	
22:03:48.088414	2468	2395	1558	2913	2715	2692	1503	822	0	8222	
22:03:48.110531	2447	2395	1581	2891	2740	2681	1499	831	0	8223	
22:03:48.132650	2450	2406	1561	2898	2741	2681	1510	840	0	8224	
22:03:48.154768	2454	2409	1555	2916	2719	2690	1517	819	0	8225	
22:03:48.176887	2468	2395	1572	2895	2719	2693	1499	822	0	8226	
22:03:48.199005	2445	2398	1581	2898	2740	2671	1510	841	0	8227	
22:03:48.221124	2450	2405	1551	2902	2733	2675	1510	832	0	8228	
22:03:48.243241	2454	2409	1555	2916	2715	2692	1513	819	0	8229	
22:03:48.265360	2445	2395	1581	2891	2740	2685	1499	831	0	8230	
22:03:48.287478	2450	2406	1551	2902	2745	2675	1510	833	0	8231	
22:03:48.309597	2454	2409	1555	2916	2719	2688	1517	819	0	8232	
22:03:48.331715	2469	2395	1572	2893	2719	2701	1499	822	0	8233	
22:03:48.353833	2445	2395	1581	2891	2740	2697	1499	830	0	8234	
22:03:48.375952	2450	2404	1551	2902	2733	2675	1510	832	0	8235	
22:03:48.398070	2464	2395	1558	2913	2715	2692	1513	822	0	8236	
22:03:48.420189	2445	2395	1581	2891	2740	2681	1499	831	0	8237	
22:03:48.442306	2450	2406	1551	2902	2745	2675	1510	833	0	8238	
22:03:48.464425	2454	2413	1555	2916	2729	2688	1517	819	0	8239	
22:03:48.486543	2468	2395	1558	2913	2715	2692	1513	822	0	8240	
22:03:48.508662	2447	2398	1581	2898	2740	2671	1503	831	0	8241	
22:03:48.530780	2450	2413	1562	2902	2733	2690	1517	824	0	8242	
22:03:48.552898	2468	2395	1558	2913	2715	2692	1513	822	0	8243	
22:03:48.575017	2445	2398	1581	2891	2740	2685	1499	830	0	8244	
22:03:48.597135	2450	2405	1561	2902	2735	2675	1510	833	0	8245	
22:03:48.619254	2454	2409	1555	2916	2715	2692	1513	819	0	8246	
22:03:48.641371	2447	2394	1581	2891	2740	2685	1499	830	0	8247	
22:03:48.663490	2443	2406	1551	2898	2741	2680	1510	841	0	8248	
22:03:48.685608	2454	2409	1555	2916	2719	2688	1517	819	0	8249	
22:03:48.707727	2469	2395	1572	2893	2719	2701	1499	822	0	8250	
22:03:48.729845	2445	2398	1581	2891	2740	2685	1499	831	0	8251	
22:03:48.751964	2450	2406	1561	2898	2735	2671	1510	841	0	8252	
22:03:48.774082	2454	2413	1555	2916	2729	2690	1517	819	0	8253	
22:03:48.796200	2468	2395	1558	2913	2715	2692	1513	822	0	8254	
22:03:48.818319	2447	2395	1573	2891	2738	2697	1499	823	0	8255	
22:03:48.840438	2443	2406	1577	2898	2735	2671	1510	841	0	8256	
22:03:48.862555	2450	2413	1562	2902	2733	2675	1511	824	0	8257	
22:03:48.884674	2454	2409	1555	2916	2715	2692	1517	819	0	8258	
22:03:48.906792	2469	2394	1572	2893	2738	2697	1499	822	0	8259	
22:03:48.928911	2445	2395	1581	2891	2740	2671	1502	831	0	8260	
22:03:48.951028	2450	2405	1551	2902	2733	2675	1510	833	0	8261	
22:03:48.973147	2450	2405	1562	2902	2733	2675	1510	832	0	8262	
22:03:48.995265	2454	2409	1555	2916	2729	2690	1517	826	0	8263	
