IRIG Time	ARC_DECOM_STREAM_1: LEP MCP	ARC_DECOM_STREAM_1: LEP Mesh	ARC_DECOM_STREAM_1: LEP SvFix	ARC_DECOM_STREAM_1: LEP Sweep	
22:03:46.982095	92	2053	45	29	
22:03:47.004214	41	2064	72	24	
22:03:47.026332	0	2034	0	0	
22:03:47.048451	49	2048	100	20	
22:03:47.070569	46	1949	41	34	
22:03:47.092687	26	2199	41	31	
22:03:47.114806	7	1977	33	31	
22:03:47.136924	49	2166	44	0	
22:03:47.159043	28	2067	28	4	
22:03:47.181161	59	2186	53	7	
22:03:47.203279	0	2085	44	0	
22:03:47.225398	52	2116	0	38	
22:03:47.247516	25	2232	0	0	
22:03:47.269635	0	2200	0	26	
22:03:47.291753	58	2056	0	2	
22:03:47.313871	0	2175	0	31	
22:03:47.335989	55	2124	0	0	
22:03:47.358108	54	2087	25	60	
22:03:47.380226	6	1968	0	40	
22:03:47.402344	2	1920	66	0	
22:03:47.424463	7	2151	9	0	
22:03:47.446581	24	1982	15	47	
22:03:47.468700	63	1986	26	0	
22:03:47.490818	33	2099	91	26	
22:03:47.512936	0	2032	0	28	
22:03:47.535054	16	2059	0	59	
22:03:47.557173	42	2104	0	38	
22:03:47.579291	31	2048	34	33	
22:03:47.601409	60	1897	69	10	
22:03:47.623528	31	1977	0	65	
22:03:47.645646	32	2079	33	44	
22:03:47.667765	36	2149	79	0	
22:03:47.689883	29	2065	0	0	
22:03:47.712001	15	2165	24	19	
22:03:47.734119	26	2077	43	22	
22:03:47.756238	51	2124	0	14	
22:03:47.778356	19	1969	16	43	
22:03:47.800475	57	2036	39	36	
22:03:47.822593	0	2066	0	0	
22:03:47.844711	38	1963	0	17	
22:03:47.866829	37	2209	25	35	
22:03:47.888949	59	2052	0	13	
22:03:47.911066	39	2106	110	62	
22:03:47.933185	0	2022	12	26	
22:03:47.955303	0	1914	0	35	
22:03:47.977421	35	1961	0	58	
22:03:47.999540	40	2283	0	0	
22:03:48.021658	0	2121	0	0	
22:03:48.043776	33	2003	0	20	
22:03:48.065894	17	2137	65	27	
22:03:48.088014	33	2011	0	0	
22:03:48.110131	16	1995	0	49	
22:03:48.132250	44	2035	63	0	
22:03:48.154368	0	1917	0	31	
22:03:48.176487	0	1994	7	6	
22:03:48.198605	28	1957	0	33	
22:03:48.220724	0	2113	30	28	
22:03:48.242841	63	2251	74	28	
22:03:48.264960	0	1934	24	54	
22:03:48.287078	45	2005	0	0	
22:03:48.309197	0	2199	1	24	
22:03:48.331315	0	1927	0	17	
22:03:48.353433	65	2084	79	0	
22:03:48.375552	15	1829	22	0	
22:03:48.397670	32	2074	0	5	
22:03:48.419789	0	2124	34	36	
22:03:48.441906	35	2105	44	3	
22:03:48.464025	37	2107	23	0	
22:03:48.486143	11	2091	35	0	
22:03:48.508262	20	2202	36	19	
22:03:48.530380	57	2008	9	23	
22:03:48.552498	33	1921	75	23	
22:03:48.574617	14	2014	42	39	
22:03:48.596735	43	2026	46	0	
22:03:48.618854	7	1890	19	7	
22:03:48.640971	38	2059	79	29	
22:03:48.663090	60	1808	12	10	
22:03:48.685208	14	2124	2	53	
22:03:48.707327	1	2076	59	0	
22:03:48.729445	1	1961	0	29	
22:03:48.751564	0	2021	8	0	
22:03:48.773682	28	2220	0	49	
22:03:48.795800	39	2068	0	29	
22:03:48.817919	59	2030	66	29	
22:03:48.840038	50	2080	0	12	
22:03:48.862155	14	2033	0	20	
22:03:48.884274	27	2057	0	9	
22:03:48.906392	0	2049	44	0	
22:03:48.928511	28	2086	75	0	
22:03:48.950628	30	2028	0	55	
22:03:48.972747	30	2128	63	34	
22:03:48.994865	0	1911	10	0	
22:03:49.016983	60	1982	26	21	
22:03:49.039102	56	2006	0	0	
22:03:49.061220	29	2116	0	24	
22:03:49.083339	22	2203	77	0	
22:03:49.105457	49	2022	0	55	
22:03:49.127576	31	2042	102	32	
22:03:49.149694	36	2090	36	34	
22:03:49.171812	79	2128	18	49	
22:03:49.193930	16	2123	0	0	
22:03:49.216049	40	1956	64	0	
22:03:49.238167	43	2017	0	29	
22:03:49.260286	32	1924	56	0	
22:03:49.282404	66	2129	31	13	
22:03:49.304522	48	2160	45	41	
22:03:49.326640	48	2100	0	28	
22:03:49.348759	14	2191	0	83	
22:03:49.370877	9	2015	0	17	
22:03:49.392995	31	1972	79	22	
22:03:49.415114	37	2039	34	59	
22:03:49.437232	40	2253	3	43	
22:03:49.459351	12	2038	25	5	
22:03:49.481469	0	1997	28	10	
22:03:49.503587	46	2137	37	23	
22:03:49.525705	69	2005	0	11	
22:03:49.547824	19	2012	0	0	
22:03:49.569942	47	2049	34	50	
22:03:49.592061	11	2190	58	0	
22:03:49.614179	11	1944	51	40	
22:03:49.636297	26	1895	0	19	
22:03:49.658416	0	2137	0	0	
22:03:49.680534	51	2146	19	0	
22:03:49.702652	8	1953	27	3	
22:03:49.724771	43	2145	0	0	
22:03:49.746889	54	2099	38	0	
22:03:49.769008	33	2059	42	20	
22:03:49.791126	21	1950	114	0	
22:03:49.813244	10	2072	34	40	
22:03:49.835363	18	1968	8	53	
22:03:49.857481	45	2096	0	0	
22:03:49.879599	0	2063	0	14	
22:03:49.901718	22	2061	0	21	
22:03:49.923836	3	1992	0	41	
22:03:49.945954	29	2049	0	38	
22:03:49.968073	22	1903	0	63	
22:03:49.990191	28	2087	0	25	
22:03:50.012309	13	2045	42	23	
22:03:50.034427	25	2059	0	22	
22:03:50.056546	4	2130	33	19	
22:03:50.078665	47	2159	0	17	
22:03:50.100782	5	2078	15	24	
22:03:50.122901	0	2090	0	0	
22:03:50.145019	54	2078	0	35	
22:03:50.167138	13	2112	20	5	
