  11.37 1.332  11.18 1.321
  11.74 1.358  11.55 1.351
  12.11 1.386  11.92 1.371
  12.47 1.409  12.28 1.398
  12.81 1.437  12.64 1.421
  13.16 1.461  12.98 1.446
  13.50 1.481  13.32 1.473
  13.83 1.507  13.66 1.491
  14.16 1.530  13.99 1.515
  14.49 1.555  14.32 1.544
  14.81 1.583  14.64 1.565
  15.12 1.605  14.96 1.594
  15.43 1.634  15.27 1.623
  15.73 1.665  15.58 1.647
  16.03 1.695  15.88 1.681
  16.32 1.726  16.17 1.709
  16.61 1.752  16.46 1.737
  16.89 1.771  16.75 1.763
  17.17 1.795  17.03 1.781
  17.45 1.812  17.31 1.804
  17.72 1.834  17.58 1.823
  17.99 1.855  17.85 1.844
  18.26 1.872  18.13 1.866
  18.53 1.894  18.39 1.881
  18.79 1.918  18.66 1.906
  19.05 1.950  18.92 1.933
  19.30 1.972  19.17 1.959
  19.55 2.006  19.43 1.990
  19.80 2.033  19.68 2.019
  20.05 2.063  19.92 2.046
  20.29 2.090  20.17 2.076
  20.52 2.111  20.40 2.098
  20.76 2.127  20.64 2.121
  20.99 2.131  20.88 2.129
  21.23 2.139  21.11 2.136
  21.46 2.139  21.34 2.140
  21.70 2.146  21.58 2.140
  21.93 2.160  21.81 2.154
  22.16 2.175  22.04 2.164
  22.39 2.192  22.27 2.186
  22.62 2.191  22.50 2.194
  22.84 2.181  22.73 2.189
  23.07 2.162  22.95 2.173
  23.31 2.132  23.19 2.148
  23.54 2.118  23.42 2.127
  23.78 2.107  23.66 2.111
  24.02 2.110  23.89 2.106
  24.26 2.128  24.13 2.119
  24.49 2.131  24.37 2.126
  24.72 2.139  24.60 2.134
  24.96 2.139  24.84 2.143
  25.19 2.128  25.07 2.133
  25.42 2.131  25.30 2.131
  25.66 2.128  25.54 2.131
  25.89 2.133  25.77 2.127
  26.13 2.152  26.01 2.143
  26.36 2.178  26.24 2.163
  26.59 2.214  26.47 2.193
  26.81 2.246  26.70 2.229
  27.03 2.266  26.92 2.257
  27.25 2.276  27.14 2.273
  27.47 2.277  27.36 2.275
  27.69 2.278  27.58 2.278
  27.91 2.276  27.80 2.277
  28.13 2.271  28.02 2.273
  28.35 2.270  28.24 2.274
  28.57 2.263  28.46 2.269
  28.79 2.253  28.68 2.257
  29.01 2.249  28.90 2.248
  29.24 2.237  29.12 2.241
  29.46 2.229  29.35 2.238
  29.69 2.223  29.57 2.227
  29.91 2.217  29.79 2.222
  30.14 2.212  30.02 2.214
  30.36 2.196  30.25 2.198
  30.59 2.197  30.48 2.199
  30.82 2.191  30.70 2.196
  31.05 2.184  30.93 2.191
  31.28 2.185  31.16 2.186
  31.51 2.179  31.39 2.176
  31.74 2.165  31.62 2.173
  31.97 2.141  31.85 2.153
  32.20 2.111  32.08 2.126
  32.44 2.071  32.32 2.094
  32.68 2.040  32.56 2.055
  32.93 2.024  32.80 2.031
  33.18 2.019  33.05 2.021
  33.43 2.020  33.30 2.019
  33.68 2.028  33.55 2.022
  33.92 2.036  33.80 2.032
