#    Time  Long.axis      Spin1      Spin2
   0.0014 -0.0000000 -175.4298267 -20.6665767
   0.0359 -0.0000000 -6.6955799 -1.1943432
   0.0705 -0.0000000 -3.2240457 -0.5092917
   0.1051 -0.0000000 -2.1626567 -0.3416276
   0.1396 -0.0000000 -1.7780586 -0.2571996
   0.1745 -0.0000000 -1.7071985 -0.1658063
   0.2091 -0.0000000 -1.6498330 -0.1050280
   0.2436 -0.0000000 -1.6308886 -0.0329131
   0.2782 -0.0000000 -1.6536654 -0.0288197
   0.3128 -0.0000000 -1.3787798 -0.0256318
   0.3473 -0.0000000 -1.0083804 -0.0230856
   0.3819 -0.6914591 -0.7184320 -0.0757612
   0.4192 -0.8492279 -0.5234961 -0.0690201
   0.4538 -0.9473716 -0.3164571 -0.0483943
   0.4883 -0.9879359 -0.1548485 -0.0021417
   0.5229 -0.9999523 -0.0095651 -0.0020000
   0.5588 -0.9495560  0.3092936 -0.0517774
   0.5934 -0.4902181  0.8685996 -0.0722564
   0.6280 -0.9904034  0.1044734 -0.0904787
   0.6639 -0.8997870 -0.4329647 -0.0540820
   0.6985 -0.8701250 -0.4901430 -0.0514031
   0.7330 -0.8889141 -0.4563700 -0.0394723
   0.7676 -0.8992544 -0.4357989 -0.0376931
   0.8021 -0.9081655 -0.4170542 -0.0360718
   0.8367 -0.9159465 -0.3998078 -0.0345801
   0.8713 -0.9240075 -0.3809296 -0.0332069
   0.9058 -0.9310333 -0.3635336 -0.0319422
   0.9404 -0.9359121 -0.3501582 -0.0381806
   0.9749 -0.9405090 -0.3377667 -0.0368295
   1.0095 -0.9432552 -0.3292888 -0.0428769
   1.0441 -0.9432552 -0.3292889 -0.0428769
   1.0786 -0.9429124 -0.3292892 -0.0498488
   1.1132 -0.9434275 -0.3266742 -0.0568208
   1.1477 -0.9443288 -0.3240593 -0.0568208
   1.1823 -0.9447225 -0.3240595 -0.0498490
   1.2169 -0.9438833 -0.3240598 -0.0637928
   1.2514 -0.9447771 -0.3214448 -0.0637928
   1.2860 -0.9446187 -0.3188298 -0.0777367
   1.3205 -0.9463679 -0.3135996 -0.0777367
   1.3551 -0.9454972 -0.3162151 -0.0777368
   1.3897 -0.9466324 -0.3109849 -0.0847088
   1.4242 -0.9461372 -0.3083699 -0.0986527
   1.4588 -0.9462333 -0.3057549 -0.1056247
   1.4933 -0.9486583 -0.3005246 -0.0986528
   1.5279 -0.9495497 -0.2952943 -0.1056249
   1.5625 -0.9487055 -0.2926793 -0.1195688
   1.5970 -0.9503033 -0.2874490 -0.1195689
   1.6316 -0.9509679 -0.2822188 -0.1265410
   1.6661 -0.9490081 -0.2822190 -0.1404850
   1.7007 -0.9510015 -0.2717582 -0.1474571
   1.7353 -0.9506385 -0.2691431 -0.1544292
   1.7698 -0.9528249 -0.2612975 -0.1544293
   1.8044 -0.9530893 -0.2560672 -0.1614014
   1.8389 -0.9525819 -0.2534522 -0.1683735
   1.8735 -0.9527013 -0.2482218 -0.1753456
   1.9081 -0.9534042 -0.2403762 -0.1823178
   1.9426 -0.9533498 -0.2351458 -0.1892899
   1.9772 -0.9532156 -0.2299155 -0.1962621
   2.0117 -0.9536146 -0.2220699 -0.2032343
   2.0463 -0.9533068 -0.2168396 -0.2102066
   2.0809 -0.9534961 -0.2089941 -0.2171789
   2.1154 -0.9524515 -0.2063791 -0.2241513
   2.1500 -0.9529942 -0.1959182 -0.2311237
   2.1845 -0.9505681 -0.1906879 -0.2450681
   2.2191 -0.9521083 -0.1828422 -0.2450685
   2.2537 -0.9517624 -0.1749966 -0.2520409
   2.2882 -0.9536264 -0.1645356 -0.2520413
   2.3228 -0.9511571 -0.1566899 -0.2659858
   2.3573 -0.9528213 -0.1462288 -0.2659862
   2.3919 -0.9543680 -0.1357678 -0.2659866
   2.4265 -0.9518071 -0.1253067 -0.2799312
   2.4610 -0.9534373 -0.1122302 -0.2799316
   2.4956 -0.9506867 -0.0991537 -0.2938763
   2.5301 -0.9521925 -0.0834619 -0.2938767
   2.5647 -0.9508736 -0.0730006 -0.3008493
   2.5993 -0.9542770 -0.0546933 -0.2938776
   2.6338 -0.9527629 -0.0416167 -0.3008502
   2.6687 -0.9554912 -0.0259246 -0.2938784
   2.7033 -0.9536580 -0.0050019 -0.3008510
   2.7378 -0.9536111  0.0106903 -0.3008515
   2.7748 -0.9532299  0.0289978 -0.3008519
   2.8094 -0.9567895  0.0473054 -0.2869078
   2.8439 -0.9557084  0.0656130 -0.2869082
   2.8813 -0.9563435  0.0839207 -0.2799364
   2.9158 -0.9562940  0.1048439 -0.2729645
   2.9504 -0.9573016  0.1283824 -0.2590204
   2.9849 -0.9591282  0.1414595 -0.2450761
   3.0195 -0.9575689  0.1623829 -0.2381043
   3.0541 -0.9597492  0.1780756 -0.2171878
   3.0886 -0.9592317  0.1963837 -0.2032436
   3.1232 -0.9593184  0.2094611 -0.1892993
   3.1629 -0.9590455  0.2277695 -0.1683826
   3.1975 -0.9592948  0.2408470 -0.1474658
   3.2321 -0.9586531  0.2513092 -0.1335214
   3.2666 -0.9593319  0.2617714 -0.1056320
   3.3012 -0.9598240  0.2696183 -0.0777425
   3.3416 -0.9586151  0.2774652 -0.0637978
   3.3900 -0.9577617  0.2853124 -0.0359082
   3.4277 -0.9584009  0.2853130 -0.0080183
   3.4716 -0.9574455  0.2879292  0.0198716
   3.5127 -0.9572432  0.2853144  0.0477617
   3.5472 -0.9572216  0.2826996  0.0617068
   3.5925 -0.9566241  0.2748539  0.0965697
   3.6271 -0.9572321  0.2643925  0.1174876
   3.6616 -0.9562344  0.2539311  0.1453781
   3.6962 -0.9562086  0.2408542  0.1662962
   3.7308 -0.9561658  0.2251617  0.1872143
   3.7653 -0.9568999  0.2094691  0.2011599
   3.7999 -0.9561060  0.1911610  0.2220783
   3.8344 -0.9567194  0.1702373  0.2360240
   3.8690 -0.9570762  0.1466979  0.2499698
   3.9036 -0.9550335  0.1205430  0.2708883
   3.9381 -0.9559727  0.0943879  0.2778616
   3.9727 -0.9563281  0.0656172  0.2848348
   4.0072 -0.9558641  0.0342309  0.2918082
   4.0446 -0.9543058  0.0054600  0.2987818
   4.0791 -0.9561249 -0.0259267  0.2918098
   4.1137 -0.9545968 -0.0599291  0.2918106
   4.1482 -0.9542161 -0.0913161  0.2848386
   4.1859 -0.9544170 -0.1253189  0.2708938
   4.2205 -0.9536354 -0.1567062  0.2569489
   4.2550 -0.9526334 -0.1828626  0.2430039
   4.2896 -0.9517818 -0.2116347  0.2220859
   4.3242 -0.9523553 -0.2351757  0.1941950
   4.3587 -0.9529365 -0.2534856  0.1663039
   4.3933 -0.9542720 -0.2717957  0.1244668
   4.4278 -0.9536874 -0.2848745  0.0965753
   4.4658 -0.9533978 -0.2953379  0.0617108
   4.5004 -0.9533819 -0.3005700  0.0268460
   4.5350 -0.9528975 -0.3031865 -0.0080190
   4.5695 -0.9524552 -0.3005716 -0.0498571
   4.6041 -0.9538298 -0.2901098 -0.0777494
   4.6386 -0.9534752 -0.2796479 -0.1126149
   4.6732 -0.9524651 -0.2665703 -0.1474807
   4.7078 -0.9520546 -0.2456455 -0.1823465
   4.7423 -0.9529866 -0.2247206 -0.2032664
   4.7769 -0.9501681 -0.2011800 -0.2381326
   4.8114 -0.9508219 -0.1697920 -0.2590527
   4.8460 -0.9520060 -0.1384039 -0.2729998
   4.8806 -0.9545966 -0.1017842 -0.2799737
   4.9151 -0.9536059 -0.0651643 -0.2939209
   4.9497 -0.9555452 -0.0233127 -0.2939217
   4.9842 -0.9556966  0.0159233 -0.2939225
   5.0219 -0.9585677  0.0525439 -0.2799769
   5.0565 -0.9576246  0.0917805 -0.2730046
   5.0910 -0.9606011  0.1310173 -0.2451122
   5.1256 -0.9588168  0.1650228 -0.2311664
   5.1602 -0.9606707  0.1964128 -0.1963003
   5.1947 -0.9608485  0.2251872 -0.1614340
   5.2293 -0.9586407  0.2513460 -0.1335409
   5.2638 -0.9585801  0.2696576 -0.0917007
   5.2984 -0.9579005  0.2827376 -0.0498603
   5.3330 -0.9567314  0.2905860 -0.0149930
   5.3675 -0.9554518  0.2932028  0.0338215
   5.4021 -0.9551722  0.2879721  0.0686893
   5.4366 -0.9543434  0.2775097  0.1105309
   5.4712 -0.9541026  0.2618154  0.1453992
   5.5123 -0.9542705  0.2330418  0.1872414
